15-Dec-23 11:49:42 AM	"MAC Address"	"Vendor"	"SSID"	"Access Point Name"	"Connected AP"	"Signal Strength"	"Quality"	"Station Count"	"Frequency"	"Position"	"Info"	"Adapter"
15-Dec-23 11:49:52 AM	D0:4D:C6:F2:F4:B1	""	"tudelft-dastud"	""	""	-71	72	"1"	"Ch 60 [5.300 GHz]"	""	"1 Station, 20% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:52 AM	D0:4D:C6:F2:C8:A2	""	"TUD-facility"	""	""	-71	72	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 18% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:52 AM	D0:4D:C6:F3:0D:40	""	"eduroam"	""	""	-71	72	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 45% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:52 AM	1C:28:AF:5B:58:21	""	"tudelft-dastud"	""	""	-71	72	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 11% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:52 AM	D0:4D:C6:F2:D1:51	""	"tudelft-dastud"	""	""	-71	72	"0"	"Ch 104 [5.520 GHz]"	""	"0 Stations, 3% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:52 AM	D0:4D:C6:F3:0D:42	""	"TUD-facility"	""	""	-71	72	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 45% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:52 AM	D0:4D:C6:F3:0D:41	""	"tudelft-dastud"	""	""	-71	72	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 45% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:52 AM	D0:4D:C6:F2:C8:A1	""	"tudelft-dastud"	""	""	-71	72	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 18% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:52 AM	1C:28:AF:5B:29:D2	""	"TUD-facility"	""	""	-71	72	"0"	"Ch 108 [5.540 GHz]"	""	"0 Stations, 2% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:52 AM	D0:4D:C6:F2:FC:C1	""	"tudelft-dastud"	""	""	-71	72	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 42% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:52 AM	D0:4D:C6:F2:D9:41	""	"tudelft-dastud"	""	""	-71	72	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 22% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:52 AM	D0:4D:C6:F2:98:D2	""	"TUD-facility"	""	""	-71	72	"0"	"Ch 36 [5.180 GHz]"	""	"0 Stations, 2% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:52 AM	D0:4D:C6:F2:98:D1	""	"tudelft-dastud"	""	""	-71	72	"0"	"Ch 36 [5.180 GHz]"	""	"0 Stations, 2% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:52 AM	D0:4D:C6:F2:D9:51	""	"tudelft-dastud"	""	""	-71	72	"0"	"Ch 100 [5.500 GHz]"	""	"0 Stations, 11% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:52 AM	D0:4D:C6:F2:C8:A0	""	"eduroam"	""	""	-71	72	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 18% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:52 AM	1C:28:AF:5B:58:30	""	"eduroam"	""	""	-71	72	"5"	"Ch 52 [5.260 GHz]"	""	"5 Stations, 2% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:52 AM	1C:28:AF:5B:58:32	""	"TUD-facility"	""	""	-71	72	"0"	"Ch 52 [5.260 GHz]"	""	"0 Stations, 2% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:52 AM	D0:4D:C6:F2:D1:52	""	"TUD-facility"	""	""	-71	72	"0"	"Ch 104 [5.520 GHz]"	""	"0 Stations, 3% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:52 AM	D0:4D:C6:F2:FC:C2	""	"TUD-facility"	""	""	-69	76	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 42% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:52 AM	1C:28:AF:5B:58:20	""	"eduroam"	""	""	-68	76	"2"	"Ch 11 [2.462 GHz]"	""	"2 Stations, 11% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:52 AM	1C:28:AF:5B:58:22	""	"TUD-facility"	""	""	-67	77	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 11% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:52 AM	D0:4D:C6:F2:FC:C0	""	"eduroam"	""	""	-67	77	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 42% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:52 AM	1C:28:AF:5B:29:D1	""	"tudelft-dastud"	""	""	-61	79	"0"	"Ch 108 [5.540 GHz]"	""	"0 Stations, 2% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:52 AM	1C:28:AF:5B:29:C2	""	"TUD-facility"	""	""	-58	80	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 11% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:52 AM	1C:28:AF:5B:29:C1	""	"tudelft-dastud"	""	""	-58	80	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 11% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:52 AM	1C:28:AF:5B:29:C0	""	"eduroam"	""	""	-58	80	"1"	"Ch 11 [2.462 GHz]"	""	"1 Station, 11% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:52 AM	D0:4D:C6:F2:98:C0	""	"eduroam"	""	""	-83	36	"2"	"Ch 1 [2.412 GHz]"	""	"2 Stations, 35% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	D0:4D:C6:F2:D4:D2	""	"TUD-facility"	""	""	-95	5	"0"	"Ch 132 [5.660 GHz]"	""	"0 Stations, 3% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	1C:28:AF:61:E3:A0	""	"eduroam"	""	""	-89	18	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 30% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	1C:28:AF:5B:2F:70	""	"eduroam"	""	""	-87	24	"6"	"Ch 132 [5.660 GHz]"	""	"6 Stations, 2% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	D0:4D:C6:F2:D4:C2	""	"TUD-facility"	""	""	-87	24	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 36% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	1C:28:AF:5B:2F:72	""	"TUD-facility"	""	""	-87	24	"0"	"Ch 132 [5.660 GHz]"	""	"0 Stations, 2% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	1C:28:AF:5B:2F:71	""	"tudelft-dastud"	""	""	-87	24	"7"	"Ch 132 [5.660 GHz]"	""	"7 Stations, 2% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	D0:4D:C6:F2:98:D2	""	"TUD-facility"	""	""	-86	27	"0"	"Ch 36 [5.180 GHz]"	""	"0 Stations, 9% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	00:1D:C9:07:DB:5A	""	"REMOTE52xzar"	""	""	-86	27	""	"Ch 3 [2.422 GHz]"	""	""	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	D0:4D:C6:F2:98:D0	""	"eduroam"	""	""	-85	30	"22"	"Ch 36 [5.180 GHz]"	""	"22 Stations, 9% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	D0:4D:C6:F2:98:D1	""	"tudelft-dastud"	""	""	-85	30	"0"	"Ch 36 [5.180 GHz]"	""	"0 Stations, 9% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	D0:4D:C6:F2:98:C0	""	"eduroam"	""	""	-85	30	"2"	"Ch 1 [2.412 GHz]"	""	"2 Stations, 36% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	1C:28:AF:5C:0C:70	""	"eduroam"	""	""	-84	33	"3"	"Ch 44 [5.220 GHz]"	""	"3 Stations, 3% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	D0:4D:C6:F2:98:C2	""	"TUD-facility"	""	""	-84	33	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 35% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	1C:28:AF:5C:0C:72	""	"TUD-facility"	""	""	-84	33	"0"	"Ch 44 [5.220 GHz]"	""	"0 Stations, 3% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	1C:28:AF:5C:0C:71	""	"tudelft-dastud"	""	""	-84	33	"0"	"Ch 44 [5.220 GHz]"	""	"0 Stations, 3% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	1C:28:AF:5C:0C:61	""	"tudelft-dastud"	""	""	-83	36	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 11% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	1C:28:AF:5C:0C:60	""	"eduroam"	""	""	-83	36	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 11% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	D0:4D:C6:F2:D4:C0	""	"eduroam"	""	""	-83	36	"1"	"Ch 6 [2.437 GHz]"	""	"1 Station, 35% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	1C:28:AF:5C:0C:62	""	"TUD-facility"	""	""	-83	36	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 11% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	D0:4D:C6:F2:98:C1	""	"tudelft-dastud"	""	""	-83	36	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 36% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	1C:28:AF:5B:2F:60	""	"eduroam"	""	""	-82	39	"3"	"Ch 6 [2.437 GHz]"	""	"3 Stations, 18% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	D0:4D:C6:F2:F4:B2	""	"TUD-facility"	""	""	-81	42	"0"	"Ch 60 [5.300 GHz]"	""	"0 Stations, 14% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	D0:4D:C6:F2:F4:B1	""	"tudelft-dastud"	""	""	-81	42	"1"	"Ch 60 [5.300 GHz]"	""	"1 Station, 14% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	D0:4D:C6:F2:F4:B0	""	"eduroam"	""	""	-81	42	"8"	"Ch 60 [5.300 GHz]"	""	"8 Stations, 14% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	D0:4D:C6:F2:F4:A1	""	"tudelft-dastud"	""	""	-81	42	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 12% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	D0:4D:C6:F2:FC:D1	""	"tudelft-dastud"	""	""	-80	45	"0"	"Ch 48 [5.240 GHz]"	""	"0 Stations, 8% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	D0:4D:C6:F2:FC:D0	""	"eduroam"	""	""	-80	45	"21"	"Ch 48 [5.240 GHz]"	""	"21 Stations, 8% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	1C:28:AF:5B:2F:62	""	"TUD-facility"	""	""	-80	45	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 18% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	D0:4D:C6:F2:F4:A0	""	"eduroam"	""	""	-80	45	"4"	"Ch 6 [2.437 GHz]"	""	"4 Stations, 12% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	D0:4D:C6:F2:D9:42	""	"TUD-facility"	""	""	-79	48	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 19% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	1C:28:AF:5B:2F:61	""	"tudelft-dastud"	""	""	-79	48	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 25% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	D0:4D:C6:F2:D9:41	""	"tudelft-dastud"	""	""	-79	48	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 19% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	D0:4D:C6:F2:FC:D2	""	"TUD-facility"	""	""	-79	48	"0"	"Ch 48 [5.240 GHz]"	""	"0 Stations, 8% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	D0:4D:C6:F2:F4:A2	""	"TUD-facility"	""	""	-79	48	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 12% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	D0:4D:C6:F2:D9:40	""	"eduroam"	""	""	-79	48	"3"	"Ch 1 [2.412 GHz]"	""	"3 Stations, 19% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	D0:4D:C6:F3:0D:52	""	"TUD-facility"	""	""	-78	51	"0"	"Ch 56 [5.280 GHz]"	""	"0 Stations, 15% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	D0:4D:C6:F3:0D:51	""	"tudelft-dastud"	""	""	-78	51	"0"	"Ch 56 [5.280 GHz]"	""	"0 Stations, 15% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	D0:4D:C6:F3:0D:50	""	"eduroam"	""	""	-78	51	"24"	"Ch 56 [5.280 GHz]"	""	"24 Stations, 15% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	D0:4D:C6:F2:D9:52	""	"TUD-facility"	""	""	-76	57	"0"	"Ch 100 [5.500 GHz]"	""	"0 Stations, 13% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	D0:4D:C6:F2:D9:51	""	"tudelft-dastud"	""	""	-76	57	"0"	"Ch 100 [5.500 GHz]"	""	"0 Stations, 13% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	D0:4D:C6:F2:D9:50	""	"eduroam"	""	""	-76	57	"33"	"Ch 100 [5.500 GHz]"	""	"33 Stations, 13% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	D0:4D:C6:F2:D1:51	""	"tudelft-dastud"	""	""	-74	63	"0"	"Ch 104 [5.520 GHz]"	""	"0 Stations, 15% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	D0:4D:C6:F2:D1:50	""	"eduroam"	""	""	-74	63	"16"	"Ch 104 [5.520 GHz]"	""	"16 Stations, 15% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	D0:4D:C6:F2:D1:40	""	"eduroam"	""	""	-74	63	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 45% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	D0:4D:C6:F2:D1:52	""	"TUD-facility"	""	""	-74	63	"0"	"Ch 104 [5.520 GHz]"	""	"0 Stations, 15% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	1C:28:AF:5B:58:31	""	"tudelft-dastud"	""	""	-72	69	"1"	"Ch 52 [5.260 GHz]"	""	"1 Station, 7% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	1C:28:AF:5B:58:30	""	"eduroam"	""	""	-72	69	"5"	"Ch 52 [5.260 GHz]"	""	"5 Stations, 7% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	D0:4D:C6:F2:C8:B2	""	"TUD-facility"	""	""	-72	69	"0"	"Ch 64 [5.320 GHz]"	""	"0 Stations, 5% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	D0:4D:C6:F2:C8:B1	""	"tudelft-dastud"	""	""	-72	69	"0"	"Ch 64 [5.320 GHz]"	""	"0 Stations, 5% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	D0:4D:C6:F2:C8:B0	""	"eduroam"	""	""	-72	69	"10"	"Ch 64 [5.320 GHz]"	""	"10 Stations, 5% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	1C:28:AF:5B:58:32	""	"TUD-facility"	""	""	-71	72	"0"	"Ch 52 [5.260 GHz]"	""	"0 Stations, 7% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	D0:4D:C6:F2:D1:42	""	"TUD-facility"	""	""	-71	72	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 45% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	D0:4D:C6:F2:D1:41	""	"tudelft-dastud"	""	""	-71	72	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 45% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	D0:4D:C6:F3:0D:40	""	"eduroam"	""	""	-71	72	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 45% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	D0:4D:C6:F3:0D:42	""	"TUD-facility"	""	""	-71	72	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 45% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	D0:4D:C6:F3:0D:41	""	"tudelft-dastud"	""	""	-71	72	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 45% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	D0:4D:C6:F2:C8:A1	""	"tudelft-dastud"	""	""	-71	72	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 12% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	D0:4D:C6:F2:FC:C1	""	"tudelft-dastud"	""	""	-71	72	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 42% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	D0:4D:C6:F2:C8:A2	""	"TUD-facility"	""	""	-70	75	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 12% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	D0:4D:C6:F2:C8:A0	""	"eduroam"	""	""	-70	75	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 12% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	D0:4D:C6:F2:FC:C2	""	"TUD-facility"	""	""	-69	76	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 42% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	1C:28:AF:5B:58:20	""	"eduroam"	""	""	-68	76	"2"	"Ch 11 [2.462 GHz]"	""	"2 Stations, 10% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	1C:28:AF:5B:58:22	""	"TUD-facility"	""	""	-67	77	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 10% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	1C:28:AF:5B:58:21	""	"tudelft-dastud"	""	""	-67	77	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 10% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	D0:4D:C6:F2:FC:C0	""	"eduroam"	""	""	-67	77	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 42% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	1C:28:AF:5B:29:D0	""	"eduroam"	""	"Connected AP"	-61	79	"2"	"Ch 108 [5.540 GHz]"	""	"2 Stations, 3% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	1C:28:AF:5B:29:D2	""	"TUD-facility"	""	""	-61	79	"0"	"Ch 108 [5.540 GHz]"	""	"0 Stations, 3% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	1C:28:AF:5B:29:D1	""	"tudelft-dastud"	""	""	-61	79	"0"	"Ch 108 [5.540 GHz]"	""	"0 Stations, 3% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	1C:28:AF:5B:29:C0	""	"eduroam"	""	""	-59	79	"1"	"Ch 11 [2.462 GHz]"	""	"1 Station, 11% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	1C:28:AF:5B:29:C2	""	"TUD-facility"	""	""	-58	80	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 11% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	1C:28:AF:5B:29:C1	""	"tudelft-dastud"	""	""	-57	80	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 11% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	D0:4D:C6:F2:D4:D0	""	"eduroam"	""	""	-96	5	"16"	"Ch 132 [5.660 GHz]"	""	"16 Stations, 3% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:49:57 AM	1C:28:AF:61:E3:A2	""	"TUD-facility"	""	""	-89	18	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 7% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
